10756354#0	Qui était Princesse Diana?
3203926#0	Quelle doit être la physique d’un jockey?
649723#0	Quelle est la langue qu’on parle en Normandie??
9425124#0	Combien d’habitants vivent à Moscou?
362098#0	Quelle est la cuisine du Venezuela?
8457610#0	Quel est le système judiciaire des Pays-Bas?
10828198#0	Quelle est la loi de Newton?
12689444#0	Combien de sports participent aux Jeux olympiques?
4663043#0	Qui est le premier astronaute chinois?
5272813#0	Quelle est l’importance de Transylvanie?
1048412#0	Qui a construit le Canal de Suez?
13174972#0	Quel type de langue est portugaise?
6334077#0	Quand se passe l'élection d'un président en France?
1871958#0	Quel est le meilleur chardonnay en France?
5050562#0	Qui étaient les Aztèques?
3222047#0	Quel est le système judiciaire au Canada?
926819#0	Quelle est la meilleure école d'arts au Canada?
1057853#0	Qui est le père des mathématiques?
3088909#0	Comment a été créé le prix Grammy?
205378#0	Qui sont les chanteurs canadiens qui ont gagné le Grammy en 2021?
720432#0	Qui est le président de l’UFC?
13621158#0	Qui a donné le nom du concept la diversité des tactiques?
172133#0	Qui est le fondateur du FC Barcelone?
344331#0	Quelles étaient les conséquences du référendum au Québec en 1995?
10923652#0	Qui sont les premiers habitants de l’Écosse?
1412594#0	Quels étaient les 13 premiers états des États-Unis?
8001241#0	Qui est Jay-Z?
632021#0	Quelle était la langue des Mayans?
6718336#0	Quel est l'opéra le plus connu de Mozart?
8975588#0	Quel est l’origine des Turcs ottomans?
478164#0	Qui est le dieu principal dans la mythologie nordique?
539455#0	Qui était Che Guevara?
1580921#0	Quelle était la motivation de la création des Quatre livres extraordinaires de la littérature chinoise?
2790105#0	Quelle est la plus grande île de l'Indonésie?
5934178#0	Qu'est-ce que c’est le nihilisme?
6969585#0	Quel est le musée le plus visité en 2021 à Paris?
13430714#0	Quel est l'adresse de ROM à Toronto?
5110219#0	Qui a écrit Les Misérables?
1631316#0	Pourquoi est-ce qu’il est nécessaire d’utiliser un code d'écriture secret?
961376#0	Quelles sont les caractéristiques de l’assimilation d’un peuple?
2723634#0	Quel est le plat traditionnel de la Hongrie?
12794322#0	Quels sont les éléments de la magnétosphère terrestre?
14250708#0	Qui est le dernier grand sénéchal de Provence?
3467495#0	Quels sont les bienfaits de la guitare électrique?
14346197#0	Quels types de tests existent?
247035#0	Combien d’empereurs ont gouverné la Chine?
14378647#0	Quelle est la procédure pour devenir un météorologiste au Canada?
1978529#0	Quelle est l'étymologie du mot idéologie?
7194136#0	Comment était développé le sikhisme?
62189#0	Quelles sont les divisions administratives de territoire en France?
9198219#0	Quelles sont les raisons de la seconde guerre sino-japonaise?
7566373#0	Quelles sont les meilleures pneumatiques au monde?
5761890#0	Quelle est l’origine de la langue basque?
3492919#0	Quand a été fondé la compagnie Avon?
77716#0	Quel est l’impact du style pop sur la musique contemporaine?
3209215#0	Quelle est l’importance des légendes dans la culture des peuples africains?
36307#0	Quelles sont les caractéristiques principales de l'antiquité?
14498773#0	Quelle est la première voiture gyroscopique au monde?
7249896#0	Pourquoi les gens commencent-ils une guerre?
1598177#0	Qui sont les cinq membres des Spice Girls?
1000816#0	Quel est le statut du rugby en Belgique?
9308132#0	Pourquoi les îles Sandwich s'appellent comme cela?
1152762#0	Qui est Priscilla Presley?
1025182#0	Quels sont les traits particuliers de l’architecture gothique?
11381191#0	Quel pays du monde a le plus d’or?
11305493#0	Qui est Lenin?
12312646#0	Quel est le style moderne dans l’architecture?
5162129#0	Quels sont les quartiers les plus populaires à Bruxelles?
3748217#0	Qui est Vivaldi?
4036758#0	Dans quel pays le rugby est un sport national?
594768#0	Quel est le roman le plus connu de Simon de Beauvoir?
13216832#0	Quels sont les points principaux du mouvement Black Lives Matter?
8753102#0	Qui est Evita Peron?
13441615#0	Qui est l’empereur byzantin le plus important?
560011#0	Qui est le chef du département de l'intérieur des États-Unis?
3847756#0	Quel est l’ordre de Saint-Lazare de Jérusalem?
217518#0	Quels sont les pays dans l’Union européenne?
13202463#0	Pourquoi les juifs ont été persécutés par les nazis?
11882654#0	Quelle est la plus petite planète?
13161368#0	Qui a introduit le protestantisme en Inde?
1470422#0	Pourquoi collectionner des timbres-poste?
3287712#0	Qui est Martin Scorsese?
4128547#0	Qui a inventé le nom Windy City?
4257508#0	Qui a donné le nom Mont-Blanc?
753848#0	Que signifie le concept d'économie de l'apprentissage?
2453297#0	Quel est le télescope le plus puissant?
7371817#0	Quelle science est la narratologie?
13199558#0	Quels sont les sujets majeurs explorés par la physique?
6013447#0	Quel pays a le plus de satellites dans l’espace?
4874217#0	Qui est Edith Piaf?
12258128#0	Quelles sont les plus grandes attractions touristiques en Inde?
652917#0	Quels sont les avantages d’une distillation?
3649234#0	Pourquoi y a-t-il des accidents d’auto?
7082376#0	Quelles sont les croyances adventistes?
115924#0	Comment devenir enseignant dans un collège en France?
7699524#0	Qui est Merilyn Monro?
393379#0	Où est né Sean Connery?
1032386#0	Où est situé Stratford upon Avon?
5336927#0	Combien de films sont produits à Bollywood par an?
6862292#0	Quelle est la forme des cratères sur la Lune?
16121#0	D'où vient le nom de la région Normandie en France?
6174155#0	Quels sont les types de voix de chant feminine classique?
1135#0	Quelles sont les caractéristiques de la démocratie?
2789983#0	Quelle est la capitale du département de la Creuse?
4837653#0	Qui est le gouverneur de Floride en 2022?
6844918#0	Quelle est la chanson d’Ed Sheeran la plus populaire?
8645642#0	Quelles langues sont parlées au Nigeria?
3217637#0	Qui sont les membres du groupe Kiss?
2659749#0	Qui étaient les Vikings?
14201689#0	Pourquoi les gens organisent-ils des grèves contre le racisme?
6822138#0	Qui a été la première personne à atterrir sur la Lune?
502129#0	Quelles sont les universités à Montréal?
5537121#0	Comment était créée la Croix-Rouge?
1642011#0	Quel est le sport le plus joué au Mexique?
2691000#0	Quel groupe chante la chanson “Never Ever”?
4038904#0	Combien de langues régionales y a-t-il en Espagne?
7734222#0	Qui est le fondateur de l'université d’Oxford?
13886505#0	Quels sont les ingrédients du croissant français?
108572#0	Quels sont les styles de jouer au tennis?
10921932#0	Qui est Jordan Peterson?
8089854#0	Quels sont les esprits dans la littérature japonaise?
3642121#0	Quel est le salaire d’un juge?
634394#0	Quelles sont les conséquences psychologiques des jeux vidéo sur les enfants?
11650747#0	Quand a été créée l’Agence spatiale européenne?
3244857#0	Qui est le roi du Luxembourg en 2022?
2726298#0	Quels sont les services publics dans l'Église catholique?
13696113#0	Quels sont les fjords au Canada?
7975567#0	Qui a inventé les machines d’arcade?
3693294#0	Quel est le cheval le plus fort au monde?
506288#0	Quand a été la première remise du prix Golden Globe?
94888#0	Quelles sont les caractéristiques du parlementarisme?
11324#0	Qui est George Orwell?
172990#0	Comment s’appelle la personne qui a inventé l’ordinateur?
904200#0	Quels sont les avantages d'être une féministe?
10170167#0	Que fait un trou noir?
26393#0	Qu'étudie la numérologie?
3056473#0	Qui a gagné le championnat NBA en 2021?
11026862#0	Comment se forment les orages magnétiques terrestres?
113076#0	Comment s’appelle la femme de Bill Gates?
3013054#0	Dans quelle région se trouve le comté de Shropshire?
7642057#0	Comment s’appelle le désert à Nevada?
1348702#0	Qui est Alen Delon?
4945034#0	Qui est l’auteur de Star Wars?
4338091#0	Pourquoi l'Église catholique a-t-elle créé l'Inquisition?
10684869#0	Qu’est-ce que signifie la gnoséologie?
6900950#0	Pourquoi Émile Borel est-il célébré?
453841#0	Quelles sont les chansons liturgiques en christianisme?
290577#0	Quels sont les types de jeux pour les adultes?
14358536#0	Qui était Abraham Lincoln?
3368905#0	Quels sont les matériels les plus importants utilisés dans le domaine de la construction?
9408677#0	Quels sont les artistes dans un cirque?
13093712#0	Pourquoi la mémoire cache est plus rapide que la RAM?
84066#0	Quelles sont les langues officielles en Belgique?
9213449#0	Qui étaient les premiers habitants d’Andalousie?
4297463#0	Quand a été créée la Marine Impériale japonaise?
68343#0	Quels sont les traits spécifiques des perroquets?
9425436#0	Combien de quartiers y a-t-il à Marseille?
4189219#0	Quelle est l’importance des neurones?
5988127#0	Pourquoi les mineurs ont-ils un travail dur?
78745#0	Quels sont les outils les plus importants utilisés en physique?
11112672#0	Qui est Aristote?
615002#0	Qui est le chanteur de la chanson “Despacito”?
7359463#0	Qui est Marie Magdaleine?
10499841#0	Quel est le territoire de Naples?
11322228#0	Quelle est la musique japonaise traditionnelle?
4718851#0	A quelle famille langagière appartient la langue araméenne?
12074281#0	Quelle est la différence entre lа sexologie masculine et féminine?
11891340#0	Qu’est ce qu’il y a dans la surface de Mars?
1168644#0	Quelles sont les responsabilités d’un calife?
1121173#0	Quelles sont les caractéristiques importantes du bouddhisme?
70690#0	Quels sont les véhicules les plus importants utilisés pendant la Deuxième Guerre mondiale?
4634181#0	Quelle est la population de Saint-Mandrier-sur-Mer?
552420#0	Quand a été fondée l'université de Paris?
6970053#0	Quelles sont les caractéristiques les plus importantes de la civilisation assyrienne?
12596937#0	Qui est l’architecte de la cathédrale Sacré-Coeur à Paris?
10229855#0	Quelles sont les conséquences pour le corps de la drogue?
55810#0	Quelles sont les deux plus grandes communes françaises?
837221#0	Quelles sont les races bovines les plus communes au Canada?
3168#0	Comment apprendre l'espéranto?
13345053#0	Quelles sont les langues africaines?
11880940#0	Quelle est l’orbite de Neptune?
3430350#0	Quel est l'état économique de la Chine?
716068#0	Quel est le plat traditionnel de Belgique?
4482808#0	Comment a été donné le nom de la rive Nil Blanc?
65585#0	Qu’est-ce que c’est un ribosome?
633946#0	Comment fonder un mouvement politique?
1618440#0	Qui est Emmanuel Macron?
9214179#0	Quand a été fondé le protestantisme?
11891642#0	Quelle est la couleur de la planète Uranus?
1916124#0	Qui est Shiva?
58109#0	Pourquoi est-ce que les enzymes digestives sont importantes pour la santé?
12290632#0	Quel est le territoire de Belle-Île-en-Mer?
1308887#0	Qui crée des textes législatifs d’un pays?
14464705#0	Quel est l’ancien nom d'Afghanistan?
4465417#0	Quel est le cabaret le plus populaire à Paris?
7660589#0	Quel est le but d’une cavalerie?
168325#0	Quel est le rôle d’un prophète dans la Bible?
496656#0	Quels sont les éléments d’un abbaye?
1702878#0	Qui est Bobby Fischer?
14239513#0	Quel type de langue est la langue russe?
9930565#0	Qui est Caitlyn Jenner?
12144849#0	Quels sont les accents différents de l’anglais canadien?
7037773#0	Qui est l'architecte de l'Arc de triomphe?
3156427#0	Quel est une combinaison spatiale?
3240108#0	Qui est Hernando de Soto?
7194310#0	Quand a été construit le métro de New York?
555991#0	Quel est le statut d’une commune en France?
11891828#0	Comment s’appelle l'atmosphère d’un comete?
5865703#0	Combien de dents y a-t-il dans la bouche adulte?
4356532#0	Dans quels pays ont légalisé le cannabis?
7036751#0	Quel type de langue est maori?
5312697#0	Qui est le roi d’Espagne en 2020?
5964422#0	Quel est l’impact de la radiation sur le corps humain?
3004443#0	Quel est le rôle de la membrane interne?
12831637#0	Qui est Alberto Tomba?
1695164#0	Quels sont les concepts principaux en géométrie?
5305780#0	Qui est Michael Jordan?
8764675#0	Quel pays a inventé le base-ball?
13456931#0	Quel est l’indice de la Bourse de Toronto?
5347687#0	Que fait un nécromancien?
11345155#0	Quelles sont les conséquences de la guerre au Kosovo?
7376503#0	Quelle est la religion officielle en Syrie?
51201#0	Quelles sont les couleurs d’un améthyste?
186720#0	Quelles sont les minorités religieuses en l’Empire byzantin?
667233#0	Quel est le travail d’un ethnologue?
11453908#0	Quand a été créée l'association American Atheists?
3023388#0	Quelle est l’origine de l’esclavage en Afrique?
12243127#0	Qui est Steve Jobs?
4332777#0	Qui sont les pilotes de Mclaren en 2021?
14370207#0	Quels sont les tests pour devenir un soldat de la marine royale?
10447835#0	Comment se forment des galaxies?
4436683#0	Quel type de langue est la catalane?
9573917#0	Qui est Guillaume le Conquérant?
12132029#0	Que signifie le terme a drag queen?
686396#0	Quelle était la doctrine du socialisme?
13141103#0	Quelles sont les régions de la Gaspésie?
3666827#0	Qui est Michael Bublé?
6036264#0	Quel est le but du l'ordre de Saint Benoît?
67227#0	Quelles sont les récompenses du festival de Cannes?
4783832#0	Quelle était l’importance de Fort Erie pendant la guerre?
1590005#0	Quelles sont les coordonnées géographiques de la Croatie?
12577539#0	Quels types de fleurs offre les Jardins botaniques de Toronto?
10731085#0	Quel est le meilleur climat pour cultiver des bégonias?
12460076#0	Qui est Pablo Neruda?
2851306#0	Quel est l'état géographique de Marseille?
7394593#0	Quel type de langue est l’hongroise?
10661092#0	Quel type de sport est le badminton?
13781320#0	Quelles sont les villes les plus peuplées en Allemagne?
14072389#0	Que fait un archéologue?
6407947#0	Comment éviter un accident d’avion?
5652886#0	Quelle est la saveur umami?
1114676#0	Qui a construit le château de Chambord?
6258534#0	Quelle est la division administrative de Bolivie?
3028840#0	Combien de lignes a le métro de Toronto?
13151733#0	Quelles sont les caractéristiques principales du sikhisme?
13528335#0	Par qui est développé l'idéologie de salafiste djihadiste?
929396#0	Quelles sont les propriétés de résonance magnétique nucléaire?
2982593#0	Quels sont les avantages du magnésium?
12367062#0	Quand le prix Juno a-t-il été décerné pour la première fois??
12925252#0	Quels sont les types d’arts martiaux?
5761964#0	Que dit la loi de l’attraction?
14635105#0	Quels sont les avantages de lire une bande dessinée en classe?
9287385#0	Quel est le caractère du Capricorne?
6036524#0	Combien de genres théâtraux y a-t-il au monde?
13737571#0	Quel est le climat à Dublin?
7017696#0	Quelles sont les propriétés de la culture chinoise?
490236#0	Que signifie une famille nucléaire?
29448#0	Qui a hérité de l’Empire d'Alexandre le Grand?
11880957#0	Quel est le plus grand astéroïde connu?
