5455987#0	月球到地球的距离是多少？
7502831#0	苏维埃社会主义共和国联盟第一任最高领导人是谁？
33693#0	中国有哪些书号标准？
1782824#0	奥地利有哪些经济产业？
5070724#0	嵴髓损伤有哪些治疗手段？
4203173#0	金门县人口多少？
1167587#0	韩国有哪些电子服务网站？
3717849#0	香港有哪些会计师事务所？
3614775#0	加拿大有多少华裔？
3934642#0	泰国有哪些旅游景点？
1632154#0	苹果公司现任总裁是谁？
1150227#0	厦门有多少公交线路？
1721418#0	上海最贵的公寓在哪里？
4647805#0	秘鲁有多少区？
4482341#0	贵州有哪些少数民族？
221847#0	有哪些量子运动物理学家？
3115327#0	莫卧儿帝国哪一年灭国？
1298912#0	翡翠台有哪些香港电视剧？
93857#0	加拿大和美国有哪些贸易协定？
4791345#0	日本电视台有哪些动漫播出？
3124089#0	苏联国歌的作者是谁？
115040#0	劳德代尔堡人口多少？
1383094#0	日本有哪些重工业产业？
5298440#0	日本有哪些博物馆？
5672199#0	地球有哪些结构？
718853#0	人类生殖系统由什么构成？
120011#0	捷克的首都在哪里？
327925#0	非洲有哪些国家？
6812083#0	莎士比亚的四大悲剧有哪些？
7680373#0	湖南的省会是哪里？
418308#0	董事会的职责和权限有哪些？
5559993#0	世界四大教派是哪些？
7153013#0	美国总统华盛顿的任期是哪几年？
3832668#0	日本的女性向游戏有哪些种类？
4133767#0	最贵的木材是哪种？
3016316#0	日本樱花盛开的时间是什么时候？
6266414#0	肺癌的早期症状有哪些？
3554550#0	毛泽东有哪些耳熟能详的著作？
7168411#0	日本的女性向游戏有哪些种类？
7394869#0	韩国组合BTS有几个成员？
1272903#0	俄罗斯有哪些知名作家？
1074204#0	台湾盛产哪些水果？
7187921#0	微软的创始人是谁？
227186#0	世界最大的水库位于哪里？
577981#0	天宫一号发射时间是哪一天？
2808642#0	肺癌的早期症状有哪些？
1542984#0	日本樱花盛开的时间是什么时候？
4878348#0	中华人民共和国建国多少周年？
3117493#0	法国有哪些出名电影？
4794486#0	梅西获得过哪些足球奖项？
7156706#0	硫酸的储存方式有哪些？
5949707#0	西安电子科技大学的校长是谁？
601499#0	孔府位于山东哪一城市？
4732244#0	联合国的常任理事国有哪些？
7033320#0	丹麦的首都是哪里？
7858274#0	云南的少数民族有哪些？
306727#0	日本有哪些照相机品牌？
7564947#0	俄罗斯有哪些知名花滑选手？
3148989#0	墨西哥的首都在哪里？
1144464#0	水藻有哪些价值？
1202960#0	儒家文化影响的国家有哪些？
3455771#0	南汉位于现在哪些省份？
480138#0	火山有哪些类型？
7671256#0	黄河的入海口是哪里？
335947#0	英国皇家成员有哪些？
4488501#0	王菲获得过哪些奖项？
805990#0	明初有哪些大臣？
346953#0	《汉书》的作者是谁？
6149704#0	美国有哪些恐怖电影？
5546856#0	《无间道》哪一年上映？
1327587#0	被子植物有哪些特点？
6237844#0	长沙图书馆有多少本藏书？
144896#0	亚太互联网络信息中心总部在哪里？
6639450#0	触觉传感器应用与哪些器材？
6290743#0	北京市有哪些区？
34713#0	英联邦王国有哪些成员？
1063693#0	香港有哪些导演？
7393399#0	上海法租界哪一年取消？
7133725#0	陕西历史上有哪些朝代首都？
6082084#0	宁波市面积多大？
3815632#0	伦敦最大的地铁站在哪里？
4987076#0	美国共和党有哪些领袖？
1069215#0	哪位科学家最先发现系外行星？
967150#0	印度有哪些运动方式？
1371681#0	民国有哪些建筑？
40722#0	体积最大的海洋生物是哪一种？
5485451#0	美国有哪些政党组织？
2795708#0	罗马尼亚位于哪一大洲？
380008#0	新干线的起始点在哪里？
709764#0	日本官职有哪些级别？
6266714#0	西藏何时解放？
213425#0	香港无线电视翡翠台收视率多少？
636674#0	中国古代有哪些天文学著作？
139371#0	中国有哪些祭祀礼仪？
7695312#0	溴三碘甲烷有哪些反应？
1418944#0	太阳黑子面积多大？
18591#0	发电机原理有哪些？
1278344#0	双鱼座面积多大？
7614926#0	杜仲有哪些功效？
265414#0	台湾有哪些电视剧主题曲？
7528112#0	亚美尼亚人口多少？
1580268#0	手机有哪些操作系统？
1189758#0	以东京为始发站的铁路有多少条？
3154915#0	中英在近代有哪些谈判？
1498163#0	纳粹德国哪一年结束？
6388920#0	黎明出演过哪些电影？
1729827#0	儒家文化影响了哪些地区？
3603418#0	台湾有多少家连锁商店？
7463921#0	日本有哪些出版社？
1509678#0	计算机网络有哪些隐患？
6940717#0	2021年香港有多少位议员？
5191077#0	索尼旗下有多少业务？
7278041#0	台湾有哪些神话传说？
7128416#0	嘉兴有哪些交通工具？
5193968#0	常见的催化剂都有哪些？
1065764#0	香港有哪些击剑运动员？
7887526#0	戴潮春事件系列有哪些战役？
1027500#0	哪些鱼类会发光？
420466#0	滇池面积多大？
4870741#0	ONE OK ROCK有多少成员？
1281019#0	尼泊尔人口密度多少？
4697015#0	人体有多少块肌肉？
3078476#0	美国南卡罗莱纳州人口多少？
1056508#0	C++语言有哪些特征？
575148#0	鳄鱼有哪些生长习性？
5740051#0	宗教祭祀有哪些习俗？
5685803#0	玉兔二号哪一年发射？
1696214#0	西沙群岛有多少岛屿？
7598112#0	宋美龄哪一年出生？
6164276#0	乐华娱乐创始人是谁？
225641#0	新加坡国有哪些政党？
4683522#0	中国人民解放军有多少军区？
6861038#0	京都有哪些景点？
690#0	印度尼西亚有多少个岛屿？
5715768#0	吃槟榔有什么危害？
788138#0	俄罗斯历史记上最低温度是多少？
1063233#0	四川麻将的规则是什么？
7019101#0	2020年中国新增多少人口？
1914012#0	中国科学院有多少研究所？
4529946#0	福建自贸区是哪一年成立的？
5159613#0	三峡大坝位于哪里？
4506274#0	加利福尼亚有哪些名人？
148782#0	英格兰足球联赛于哪一年开始？
1160573#0	意大利有哪些服装品牌？
676440#0	台湾铁路管理局局长是谁？
163961#0	世界最大的淡水湖在哪个国家？
584536#0	香港有多少基督教徒？
1662975#0	九二共识的基本内容有哪些？
5168265#0	布加勒斯特有多少地铁线路？
1059962#0	台湾有哪些大学有牙医专业？
1762401#0	蔡英文哪一年出生？
1496015#0	道光皇帝哪一年登基？
760306#0	中国的国鸟是什么？
4050869#0	计算机有哪些加密方式？
1477190#0	法兰西大革命哪一年爆发？
4743313#0	美国五大湖有哪些？
5207228#0	魁北克省上一任省长是谁？
3489204#0	聚己内酯有哪些作用？
311762#0	日本幕府有哪些职能？
80860#0	集合的定义是什么？
6999896#0	中国有哪些水墨画家？
7491#0	犹太教有哪些经典著作？
278296#0	道家有哪些著作？
4209060#0	共产主义有哪些流派？
198348#0	网络传输协议有哪些特点？
531866#0	世界杯有多少球队？
7628635#0	阿布贾人口多少？
364308#0	澎湖列岛哪一年被割据？
3737325#0	明报出版社哪一年成立？
7056944#0	蒙古有哪些文化？
106364#0	美国金球奖哪一年创立？
4981010#0	Google公司有多少业务？
7833081#0	Redshift有哪些功能？
4397734#0	齐齐哈尔人口多少？
2994656#0	苏州市有多少区？
966392#0	微软公司哪一年成立？
1732722#0	深圳有哪些地标建筑？
3331887#0	台湾有哪些文学著作？
4051259#0	小沙湾黄河大桥长度多少？
1044665#0	成都机场面积多大？
6012746#0	剑桥大学在英国排名多少？
4469279#0	伦敦有哪些公园？
3634708#0	飓风有哪些等级？
5231626#0	宁波市有哪些旅游景点？
2733938#0	《一九八四》哪一年出版？
5084080#0	崇明岛面积多大？
5788514#0	美国有哪些棒球投手？
5704915#0	香山在北京哪个区？
6393475#0	马克斯·韦伯是哪一国人？
1854132#0	青岛市有哪些美食？
6098375#0	Lady Gaga 粉丝人数多少？
5188953#0	斯大林哪一年去世？
72253#0	香港哪一年回归？
447209#0	《摩门经》的作者是谁？
690334#0	清华大学图书馆有多少本书？
4660224#0	秘鲁2010年人口多少？
3357669#0	细胞有哪些种类？
7658519#0	台风山竹的编号是多少？
6097858#0	清朝有多少任太子？
157731#0	法国有哪些文学流派？
373230#0	东京帝国大学哪一年成立？
145124#0	莉莉丝属于哪一神话体系？
292890#0	结晶度有哪些测量方式？
3079256#0	德国人口密度最大的市镇是哪里？
5975565#0	火星距离地球多远？
6238299#0	澳大利亚最高的山脉在哪里？
3251787#0	日本静冈县面积多大？
964408#0	中华民国第一任大总统是谁？
5613595#0	俄罗斯有多少民族？
3608164#0	AKB48组合2010年举办过多少场巡演？
5276131#0	英国维多利亚女王有哪些家庭成员？
6054371#0	魏晋南北朝哪一年结束？
34150#0	日本姓氏人数最多的是哪个？
481366#0	国际奥委会哪一年成立？
560849#0	美国第一次载人航天任务是什么时候完成的？
7185559#0	海军陆战队由哪些部队组成？
3694722#0	《环太平洋》的导演是谁？
1263679#0	音乐人在录音室会配备哪些硬件？
2793270#0	数理逻辑有哪些内容？
92219#0	考研经济类联考哪一年由官方统一出题？
5298457#0	《加勒比海盗》哪一年上映？
7697429#0	苏州古镇面积多大？
3806665#0	亚马逊河流经哪些国家？
904030#0	西欧有哪些国家？
3978528#0	福建省面积位列中国第几？
7887436#0	基辅地区面积多大？
1079028#0	中国广州市面积多大？
7065189#0	俄罗斯圣彼得堡有哪些人种？
3067067#0	成都市的邮政编码是多少？
4986880#0	《疯狂的麦克斯系列电影》的导演是谁？
3684670#0	美国第一批飞行员有谁？
3475244#0	泰勒·斯威夫特哪一年出生？
7443346#0	英格兰爱德华王子哪一年出生？
1555893#0	新疆有哪些女艺人？
6903320#0	挪威罗加兰隧道哪一年开始建？
2897732#0	几月份出生的人是金牛座？
5254070#0	最早发现月食的科学家是谁？
258015#0	万有引力理论是谁提出？
3957802#0	长江大桥哪一年修成？
3913143#0	宏碁哪一年成立？
3078423#0	世界上最大的喷泉位于哪一城市？
3981688#0	台湾省最长的河流是哪一条？
1187497#0	《狮子王》电影哪一年上映？
577608#0	北平师范大学哪一年建立？
7163138#0	伦敦最古老的桥在哪一区？
5726961#0	世界有哪些汽车工业中心？
726750#0	国际跆拳道联盟哪一年成立？
4314929#0	凯撒哪一年逝世？
6682240#0	花青素有哪些功能？
903974#0	希腊有多少州？
6891836#0	果蝇可以做哪些实验？
7789287#0	现任教育局局长是谁？
1678939#0	台北市最繁华的区是哪一个？
42768#0	中国有多少所211院校？
96864#0	南水北调工程哪一年提出？
6901308#0	奥地利最高山峰海拔多少？
5186086#0	葡萄牙国土面积多大？
1603586#0	王莽哪一年登基？
1917555#0	清华大学校长是谁？
808213#0	马来西亚2020年华人人口多少？
987876#0	喜马拉雅APP属于哪一公司？
7634078#0	奥地利有哪些音乐家？
5040052#0	美国军衔最高等级是什么？
6903841#0	香港岛面积多大？
1210155#0	同性婚姻合法化的国家有哪些？
228377#0	香港有哪些知名银行？
6805589#0	肺结核的症状有哪些？
794477#0	法国现任总统是谁？
728020#0	英国属于什么气候？
991458#0	柳树皮有哪些功效？
7117871#0	浙江省总人口多少？
7532785#0	苏维埃第一次全国代表大会在哪里召开？
5478731#0	湖南代表性湘菜有哪些？
4050470#0	韩国组合BTS有哪些成员？
7144930#0	英国古典音乐大师有哪些？
5636041#0	中国古代四大美女有哪些？
1620829#0	英国有哪些摇滚乐队？
3078445#0	美国的首都是哪里？
1037173#0	诉讼法包括哪几种？
5675073#0	世界上的马列主义政党有哪些？
6986918#0	河南省省会是哪里？
3892221#0	中国第一架动车是哪一条？
6153606#0	俄罗斯的国旗有哪些颜色？
1505848#0	黄金的市场术语有哪些？
3961#0	欧盟有哪些成员国？
4041512#0	世界四大教包括哪些？
1452233#0	中国的宗教信仰政策有哪些？
3391830#0	日本新干线有哪些优点？
3110729#0	法国有哪些奢侈品品牌？
6955522#0	香港有哪些知名银行？
5153553#0	RCEP成员国有哪些？
5745244#0	北海道每年旅游人数有多少？
470949#0	欧洲足球五大联赛有哪些？
3928207#0	墨西哥的首都是哪里？
1079064#0	香港有哪些知名银行？
1395483#0	火山喷发的原因有哪些？
6044563#0	中国海军在哪一年成立？
58865#0	中国二级保护动物有哪些？
3038255#0	印度临着哪个大洋？
1225829#0	香港有哪些知名银行？
2842206#0	湖南省的省会是哪里？
4035542#0	中国沿海有哪些温带鱼？
7499155#0	《三体》中蓝色空间号的结局是什么？
6694827#0	中国沿海有哪些温带鱼？
5868065#0	日本樱花盛开的季节是什么时间？
5310071#0	台湾盛产哪些水果？
5531634#0	明朝首都在哪里？
1084093#0	八大行星包括哪些？
5069767#0	化学催化剂有哪些种类？
5677747#0	2020年奥运会铁人三项比赛冠军获得者是谁？
6404712#0	宋朝的首都位于现在的哪里？
7648#0	非洲大陆有哪些热带动物？
1760001#0	罗威尔天文台哪一年建立？
51359#0	奥托二世哪一年逝世？
6874776#0	《雪国列车》电影哪一年上映？
5446806#0	塞尔维亚官方语言是什么？
475100#0	《庄子》中有哪些典故？
44492#0	中国有哪些通讯企业？
6049460#0	《权利游戏》哪一年上映？
398979#0	哪些运动属于有氧运动？
7122994#0	那些国家现在仍然实行君主制？
5275411#0	阿拉摩之战死伤多少人？
6788781#0	中国遗址最多的省份是哪里？
1523070#0	武汉有多少所大学？
1202676#0	巴黎铁塔有多高？
794109#0	浙江大学有多少学院？
7614354#0	法国诗人阿尔蒂尔·兰波哪一年出生？
400351#0	美国属于哪一时区？
5410952#0	朝鲜半岛哪一年内战？
692002#0	美国有哪些经济学专家？
5997806#0	韩国JYP公司社长是谁？
7371616#0	上海市虹口区面积多大？
2870429#0	四川省现任省委书记是谁？
7757616#0	空想社会主义社会有哪些代表人物?
